,title,name,party,state,district,elected,vote_share (%),age_start,education,end_service
67,Senator,Kevin Cramer,Republican,North Dakota,,2018.0,55.5,59.0,M,03/01/2023
68,Senator,Rob Portman,Republican,Ohio,,2016.0,58.0,65.0,D,03/01/2023
69,Senator,Sherrod Brown,Democratic,Ohio,,2018.0,53.4,68.0,M,03/01/2023
70,Senator,James Lankford,Republican,Oklahoma,,2016.0,67.7,52.0,D,03/01/2023
71,Senator,Jim Inhofe,Republican,Oklahoma,,2020.0,62.9,86.0,B,03/01/2023
72,Senator,Ron Wyden,Democratic,Oregon,,2016.0,56.1,71.0,D,03/01/2023
73,Senator,Jeff Merkley,Democratic,Oregon,,2020.0,56.9,64.0,M,03/01/2023
74,Senator,Pat Toomey,Republican,Pennsylvania,,2016.0,48.9,59.0,B,03/01/2023
75,Senator,Bob Casey Jr.,Democratic,Pennsylvania,,2018.0,55.7,60.0,D,03/01/2023
76,Senator,Sheldon Whitehouse,Democratic,Rhode Island,,2018.0,61.6,65.0,D,03/01/2023
77,Senator,Jack Reed,Democratic,Rhode Island,,2020.0,66.6,71.0,D,03/01/2023
78,Senator,Tim Scott,Republican,South Carolina,,2016.0,60.5,55.0,B,03/01/2023
79,Senator,Lindsey Graham,Republican,South Carolina,,2020.0,54.5,65.0,D,03/01/2023
80,Senator,John Thune,Republican,South Dakota,,2016.0,71.8,59.0,M,03/01/2023
81,Senator,Mike Rounds,Republican,South Dakota,,2020.0,65.7,66.0,B,03/01/2023
82,Senator,Marsha Blackburn,Republican,Tennessee,,2018.0,54.7,68.0,B,03/01/2023
83,Senator,Bill Hagerty,Republican,Tennessee,,2020.0,62.2,61.0,D,03/01/2023
84,Senator,Ted Cruz,Republican,Texas,,2018.0,50.9,50.0,D,03/01/2023
85,Senator,John Cornyn,Republican,Texas,,2020.0,53.5,68.0,D,03/01/2023
86,Senator,Mike Lee,Republican,Utah,,2016.0,68.1,49.0,D,03/01/2023
87,Senator,Mitt Romney,Republican,Utah,,2018.0,62.6,73.0,D,03/01/2023
88,Senator,Patrick Leahy,Democratic,Vermont,,2016.0,61.3,80.0,D,03/01/2023
89,Senator,Bernie Sanders,Democratic,Vermont,,2018.0,67.4,79.0,B,03/01/2023
90,Senator,Tim Kaine,Democratic,Virginia,,2018.0,57.1,62.0,D,03/01/2023
91,Senator,Mark Warner,Democratic,Virginia,,2020.0,56.0,66.0,D,03/01/2023
92,Senator,Patty Murray,Democratic,Washington,,2016.0,58.8,70.0,B,03/01/2023
93,Senator,Maria Cantwell,Democratic,Washington,,2018.0,58.3,62.0,B,03/01/2023
94,Senator,Joe Manchin,Democratic,West Virginia,,2018.0,49.6,73.0,B,03/01/2023
95,Senator,Shelley Moore Capito,Republican,West Virginia,,2020.0,70.3,67.0,M,03/01/2023
96,Senator,Ron Johnson,Republican,Wisconsin,,2016.0,50.2,65.0,B,03/01/2023
97,Senator,Tammy Baldwin,Democratic,Wisconsin,,2018.0,55.4,58.0,D,03/01/2023
98,Senator,John Barrasso,Republican,Wyoming,,2018.0,67.1,68.0,D,03/01/2023
99,Senator,Cynthia Lummis,Republican,Wyoming,,2020.0,73.1,66.0,D,03/01/2023
100,Representative,Jerry Carl,Republican,Alabama,1,, 64.4,62.0,N,03/01/2023
101,Representative,Barry Moore,Republican,Alabama,2,, 65.2,54.0,B,03/01/2023
102,Representative,Mike D. Rogers,Republican,Alabama,3,, 67.5,62.0,D,03/01/2023
103,Representative,Robert Aderholt,Republican,Alabama,4,, 82.2,55.0,D,03/01/2023
104,Representative,Mo Brooks,Republican,Alabama,5,, 95.8,66.0,D,03/01/2023
105,Representative,Gary Palmer,Republican,Alabama,6,, 97.1,66.0,B,03/01/2023
106,Representative,Terri Sewell,Democratic,Alabama,7,, 97.2,56.0,D,03/01/2023
107,Representative,Don Young,Republican,Alaska,at-large,, 54.4,87.0,B,18/03/2022
108,Representative,Tom O'Halleran,Democratic,Arizona,1,, 51.6,74.0,N,03/01/2023
109,Representative,Ann Kirkpatrick,Democratic,Arizona,2,, 55.1,70.0,D,03/01/2023
110,Representative,Raúl Grijalva,Democratic,Arizona,3,, 64.6,72.0,B,03/01/2023
111,Representative,Paul Gosar,Republican,Arizona,4,, 69.7,62.0,D,03/01/2023
112,Representative,Andy Biggs,Republican,Arizona,5,, 58.9,62.0,D,03/01/2023
113,Representative,David Schweikert,Republican,Arizona,6,, 52.2,58.0,M,03/01/2023
114,Representative,Ruben Gallego,Democratic,Arizona,7,, 76.7,41.0,B,03/01/2023
115,Representative,Debbie Lesko,Republican,Arizona,8,, 59.6,62.0,B,03/01/2023
116,Representative,Greg Stanton,Democratic,Arizona,9,, 61.6,50.0,D,03/01/2023
117,Representative,Rick Crawford,Republican,Arkansas,1,, 100.0,54.0,B,03/01/2023
118,Representative,French Hill,Republican,Arkansas,2,, 55.4,64.0,B,03/01/2023
119,Representative,Steve Womack,Republican,Arkansas,3,, 64.3,63.0,B,03/01/2023
120,Representative,Bruce Westerman,Republican,Arkansas,4,, 69.7,53.0,M,03/01/2023
121,Representative,Doug LaMalfa,Republican,California,1,, 57.0,60.0,B,03/01/2023
122,Representative,Jared Huffman,Democratic,California,2,, 75.7,56.0,D,03/01/2023
123,Representative,John Garamendi,Democratic,California,3,, 54.7,75.0,M,03/01/2023
