,title,name,handle,party,state,district,elected,vote_share (%),age_start,education,end_service
106,Representative,Terri Sewell,RepTerriSewell,Democratic,Alabama,7,,97.2,56.0,D,03/01/2023
107,Representative,Don Young,repdonyoung,Republican,Alaska,at-large,,54.4,87.0,B,18/03/2022
108,Representative,Tom O'Halleran,RepOHalleran,Democratic,Arizona,1,,51.6,74.0,N,03/01/2023
109,Representative,Ann Kirkpatrick,RepKirkpatrick,Democratic,Arizona,2,,55.1,70.0,D,03/01/2023
110,Representative,Raúl Grijalva,RepRaulGrijalva,Democratic,Arizona,3,,64.6,72.0,B,03/01/2023
111,Representative,Paul Gosar,RepGosar,Republican,Arizona,4,,69.7,62.0,D,03/01/2023
112,Representative,Andy Biggs,RepAndyBiggsAZ,Republican,Arizona,5,,58.9,62.0,D,03/01/2023
113,Representative,David Schweikert,RepDavid,Republican,Arizona,6,,52.2,58.0,M,03/01/2023
114,Representative,Ruben Gallego,RepRubenGallego,Democratic,Arizona,7,,76.7,41.0,B,03/01/2023
115,Representative,Debbie Lesko,RepDLesko,Republican,Arizona,8,,59.6,62.0,B,03/01/2023
116,Representative,Greg Stanton,RepGregStanton,Democratic,Arizona,9,,61.6,50.0,D,03/01/2023
117,Representative,Rick Crawford,RepRickCrawford,Republican,Arkansas,1,,100.0,54.0,B,03/01/2023
118,Representative,French Hill,RepFrenchHill,Republican,Arkansas,2,,55.4,64.0,B,03/01/2023
119,Representative,Steve Womack,rep_stevewomack,Republican,Arkansas,3,,64.3,63.0,B,03/01/2023
120,Representative,Bruce Westerman,RepWesterman,Republican,Arkansas,4,,69.7,53.0,M,03/01/2023
121,Representative,Doug LaMalfa,RepLaMalfa,Republican,California,1,,57.0,60.0,B,03/01/2023
122,Representative,Jared Huffman,RepHuffman,Democratic,California,2,,75.7,56.0,D,03/01/2023
123,Representative,John Garamendi,RepGaramendi,Democratic,California,3,,54.7,75.0,M,03/01/2023
124,Representative,Tom McClintock,RepMcClintock,Republican,California,4,,55.9,64.0,B,03/01/2023
125,Representative,Mike Thompson,RepThompson,Democratic,California,5,,76.1,69.0,M,03/01/2023
126,Representative,Doris Matsui,DorisMatsui,Democratic,California,6,,73.3,76.0,B,03/01/2023
127,Representative,Ami Bera,RepBera,Democratic,California,7,,56.6,55.0,D,03/01/2023
128,Representative,Jay Obernolte,JayObernolte,Republican,California,8,,56.1,50.0,D,03/01/2023
129,Representative,Jerry McNerney,RepMcNerney,Democratic,California,9,,57.6,69.0,D,03/01/2023
130,Representative,Josh Harder,RepJoshHarder,Democratic,California,10,,55.2,34.0,M,03/01/2023
131,Representative,Mark DeSaulnier,RepDeSaulnier,Democratic,California,11,,73.0,68.0,B,03/01/2023
132,Representative,Nancy Pelosi,SpeakerPelosi,Democratic,California,12,,77.6,80.0,B,03/01/2023
133,Representative,Barbara Lee,RepBarbaraLee,Democratic,California,13,,90.4,74.0,M,03/01/2023
134,Representative,Jackie Speier,RepSpeier,Democratic,California,14,,79.3,70.0,D,03/01/2023
135,Representative,Eric Swalwell,RepSwalwell,Democratic,California,15,,70.9,40.0,D,03/01/2023
136,Representative,Jim Costa,RepJimCosta,Democratic,California,16,,59.4,68.0,B,03/01/2023
137,Representative,Ro Khanna,RepRoKhanna,Democratic,California,17,,71.3,44.0,D,03/01/2023
138,Representative,Anna Eshoo,RepAnnaEshoo,Democratic,California,18,,63.2,78.0,N,03/01/2023
139,Representative,Zoe Lofgren,RepZoeLofgren,Democratic,California,19,,71.7,73.0,D,03/01/2023
140,Representative,Jimmy Panetta,RepJimmyPanetta,Democratic,California,20,,76.8,51.0,D,03/01/2023
141,Representative,David Valadao,RepDavidValadao,Republican,California,21,,50.5,43.0,N,03/01/2023
142,Representative,Devin Nunes,RepDevinNunes,Republican,California,22,,54.2,47.0,M,01/01/2022
143,Representative,Kevin McCarthy,SpeakerMcCarthy,Republican,California,23,,62.1,55.0,M,03/01/2023
144,Representative,Salud Carbajal,RepCarbajal,Democratic,California,24,,58.7,56.0,M,03/01/2023
145,Representative,Mike Garcia,RepMikeGarcia,Republican,California,25,,50.1,44.0,M,03/01/2023
146,Representative,Julia Brownley,RepBrownley,Democratic,California,26,,60.6,68.0,M,03/01/2023
147,Representative,Judy Chu,RepJudyChu,Democratic,California,27,,69.8,67.0,D,03/01/2023
148,Representative,Adam Schiff,RepAdamSchiff,Democratic,California,28,,72.7,60.0,D,03/01/2023
149,Representative,Tony Cárdenas,RepCardenas,Democratic,California,29,,56.6,57.0,B,03/01/2023
150,Representative,Brad Sherman,BradSherman,Democratic,California,30,,69.5,66.0,D,03/01/2023
151,Representative,Pete Aguilar,RepPeteAguilar,Democratic,California,31,,61.3,41.0,B,03/01/2023
152,Representative,Grace Napolitano,gracenapolitano,Democratic,California,32,,66.6,84.0,N,03/01/2023
153,Representative,Ted Lieu,RepTedLieu,Democratic,California,33,,67.6,51.0,D,03/01/2023
154,Representative,Jimmy Gomez,RepJimmyGomez,Democratic,California,34,,53.0,46.0,M,03/01/2023
155,Representative,Norma Torres,NormaJTorres,Democratic,California,35,,69.3,55.0,B,03/01/2023
156,Representative,Raul Ruiz,RepRaulRuizMD,Democratic,California,36,,60.3,48.0,D,03/01/2023
157,Representative,Karen Bass,RepKarenBass,Democratic,California,37,,85.9,67.0,M,09/12/2022
158,Representative,Linda Sánchez,RepLindaSanchez,Democratic,California,38,,74.3,51.0,D,03/01/2023
159,Representative,Young Kim,RepYoungKim,Republican,California,39,,50.6,58.0,B,03/01/2023
160,Representative,Lucille Roybal-Allard,RepRoybalAllard,Democratic,California,40,,72.7,79.0,B,03/01/2023
161,Representative,Mark Takano,RepMarkTakano,Democratic,California,41,,64.0,60.0,M,03/01/2023
162,Representative,Ken Calvert,KenCalvert,Republican,California,42,,57.1,67.0,B,03/01/2023
163,Representative,Maxine Waters,RepMaxineWaters,Democratic,California,43,,71.7,82.0,B,03/01/2023
164,Representative,Nanette Barragán,RepBarragan,Democratic,California,44,,67.8,44.0,D,03/01/2023
165,Representative,Katie Porter,RepKatiePorter,Democratic,California,45,,53.5,47.0,D,03/01/2023
166,Representative,Lou Correa,RepLouCorrea,Democratic,California,46,,68.8,62.0,D,03/01/2023
167,Representative,Alan Lowenthal,RepLowenthal,Democratic,California,47,,63.3,79.0,D,03/01/2023
168,Representative,Michelle Steel,RepSteel,Republican,California,48,,51.1,65.0,M,03/01/2023
169,Representative,Mike Levin,RepMikeLevin,Democratic,California,49,,53.1,42.0,D,03/01/2023
170,Representative,Darrell Issa,repdarrellissa,Republican,California,50,,54.0,67.0,B,03/01/2023
171,Representative,Juan Vargas,RepJuanVargas,Democratic,California,51,,68.3,59.0,D,03/01/2023
172,Representative,Scott Peters,RepScottPeters,Democratic,California,52,,61.6,62.0,D,03/01/2023
173,Representative,Sara Jacobs,RepSaraJacobs,Democratic,California,53,,59.5,31.0,M,03/01/2023
174,Representative,Diana DeGette,RepDianaDeGette,Democratic,Colorado,1,,73.6,63.0,D,03/01/2023
175,Representative,Joe Neguse,RepJoeNeguse,Democratic,Colorado,2,,61.5,36.0,D,03/01/2023
176,Representative,Lauren Boebert,RepBoebert,Republican,Colorado,3,,51.4,34.0,N,03/01/2023
177,Representative,Ken Buck,RepKenBuck,Republican,Colorado,4,,60.1,61.0,D,03/01/2023
178,Representative,Doug Lamborn,RepDLamborn,Republican,Colorado,5,,57.6,66.0,D,03/01/2023
179,Representative,Jason Crow,RepJasonCrow,Democratic,Colorado,6,,57.1,41.0,D,03/01/2023
180,Representative,Ed Perlmutter,RepPerlmutter,Democratic,Colorado,7,,59.1,67.0,D,03/01/2023
181,Representative,John B. Larson,RepJohnLarson,Democratic,Connecticut,1,,63.8,72.0,B,03/01/2023
182,Representative,Joe Courtney,RepJoeCourtney,Democratic,Connecticut,2,,59.4,67.0,D,03/01/2023
183,Representative,Rosa DeLauro,rosadelauro,Democratic,Connecticut,3,,58.7,77.0,M,03/01/2023
184,Representative,Jim Himes,jahimes,Democratic,Connecticut,4,,62.2,54.0,M,03/01/2023
185,Representative,Jahana Hayes,RepJahanaHayes,Democratic,Connecticut,5,,55.1,47.0,D,03/01/2023
186,Representative,Lisa Blunt Rochester,RepLBR,Democratic,Delaware,at-large,,57.6,58.0,M,03/01/2023
187,Representative,Matt Gaetz,RepMattGaetz,Republican,Florida,1,,64.6,38.0,D,03/01/2023
188,Representative,Neal Dunn,DrNealDunnFL2,Republican,Florida,2,,97.9,67.0,D,03/01/2023
189,Representative,Kat Cammack,RepKatCammack,Republican,Florida,3,,57.1,32.0,M,03/01/2023
190,Representative,John Rutherford,RepRutherfordFL,Republican,Florida,4,,61.1,68.0,B,03/01/2023
191,Representative,Al Lawson,AlLawsonJr,Democratic,Florida,5,,65.1,72.0,M,03/01/2023
192,Representative,Michael Waltz,michaelgwaltz,Republican,Florida,6,,60.6,46.0,B,03/01/2023
193,Representative,Stephanie Murphy,RepStephMurphy,Democratic,Florida,7,,55.3,42.0,M,03/01/2023
194,Representative,Bill Posey,congbillposey,Republican,Florida,8,,61.4,73.0,N,03/01/2023
195,Representative,Darren Soto,RepDarrenSoto,Democratic,Florida,9,,56.0,42.0,D,03/01/2023
196,Representative,Val Demings,RepValDemings,Democratic,Florida,10,,63.6,63.0,M,03/01/2023
197,Representative,Daniel Webster,RepWebster,Republican,Florida,11,,66.7,71.0,B,03/01/2023
198,Representative,Gus Bilirakis,RepGusBilirakis,Republican,Florida,12,,62.9,57.0,D,03/01/2023
199,Representative,Charlie Crist,CharlieCrist,Democratic,Florida,13,,53.0,64.0,D,31/08/2022
200,Representative,Kathy Castor,USRepKCastor,Democratic,Florida,14,,60.3,54.0,D,03/01/2023
201,Representative,Scott Franklin,RepFranklin,Republican,Florida,15,,55.4,56.0,M,03/01/2023
202,Representative,Vern Buchanan,VernBuchanan,Republican,Florida,16,,55.5,69.0,M,03/01/2023
203,Representative,Greg Steube,RepGregSteube,Republican,Florida,17,,64.6,42.0,D,03/01/2023
204,Representative,Brian Mast,RepBrianMast,Republican,Florida,18,,56.3,40.0,B,03/01/2023
205,Representative,Byron Donalds,RepDonaldsPress,Republican,Florida,19,,61.3,42.0,B,03/01/2023
206,Representative,Alcee Hastings,RepHastingsFL,Democratic,Florida,20,,78.7,84.0,D,06/04/2021
207,Representative,Lois Frankel,RepLoisFrankel,Democratic,Florida,21,,59.0,72.0,D,03/01/2023
208,Representative,Ted Deutch,RepTedDeutch,Democratic,Florida,22,,58.6,54.0,D,30/09/2022
209,Representative,Debbie Wasserman Schultz,RepDWStweets,Democratic,Florida,23,,58.2,54.0,M,03/01/2023
210,Representative,Frederica Wilson,RepWilson,Democratic,Florida,24,,75.6,78.0,M,03/01/2023
211,Representative,Mario Díaz-Balart,MarioDB,Republican,Florida,25,,100.0,59.0,B,03/01/2023
212,Representative,Carlos A. Giménez,RepCarlos,Republican,Florida,26,,51.7,66.0,B,03/01/2023
213,Representative,María Elvira Salazar,RepMariaSalazar,Republican,Florida,27,,51.4,59.0,M,03/01/2023
214,Representative,Buddy Carter,RepBuddyCarter,Republican,Georgia,1,,58.3,63.0,B,03/01/2023
215,Representative,Sanford Bishop,SanfordBishop,Democratic,Georgia,2,,59.1,73.0,D,03/01/2023
216,Representative,Drew Ferguson,RepDrewFerguson,Republican,Georgia,3,,65.0,54.0,D,03/01/2023
217,Representative,Hank Johnson,RepHankJohnson,Democratic,Georgia,4,,80.1,66.0,D,03/01/2023
218,Representative,Nikema Williams,RepNikema,Democratic,Georgia,5,,85.1,42.0,B,03/01/2023
219,Representative,Lucy McBath,RepLucyMcBath,Democratic,Georgia,6,,54.6,60.0,B,03/01/2023
220,Representative,Carolyn Bourdeaux,RepBourdeaux,Democratic,Georgia,7,,51.4,50.0,D,03/01/2023
221,Representative,Austin Scott,AustinScottGA08,Republican,Georgia,8,,64.5,51.0,B,03/01/2023
222,Representative,Andrew Clyde,Rep_Clyde,Republican,Georgia,9,,78.6,57.0,M,03/01/2023
223,Representative,Jody Hice,CongressmanHice,Republican,Georgia,10,,62.3,60.0,D,03/01/2023
224,Representative,Barry Loudermilk,RepLoudermilk,Republican,Georgia,11,,60.4,57.0,B,03/01/2023
225,Representative,Rick W. Allen,RepRickAllen,Republican,Georgia,12,,58.4,69.0,B,03/01/2023
226,Representative,David Scott,repdavidscott,Democratic,Georgia,13,,77.4,75.0,M,03/01/2023
227,Representative,Marjorie Taylor Greene,RepMTG,Republican,Georgia,14,,74.7,46.0,B,03/01/2023
228,Representative,Ed Case,RepEdCase,Democratic,Hawaii,1,,72.0,68.0,D,03/01/2023
229,Representative,Kai Kahele,RepKahele,Democratic,Hawaii,2,,63.0,46.0,B,03/01/2023
230,Representative,Russ Fulcher,RepRussFulcher,Republican,Idaho,1,,67.8,58.0,M,03/01/2023
231,Representative,Mike Simpson,CongMikeSimpson,Republican,Idaho,2,,64.1,70.0,D,03/01/2023
232,Representative,Bobby Rush,BobbyLRush,Democratic,Illinois,1,,73.8,74.0,M,03/01/2023
233,Representative,Robin Kelly,RepRobinKelly,Democratic,Illinois,2,,78.8,64.0,D,03/01/2023
234,Representative,Marie Newman,RepMarieNewman,Democratic,Illinois,3,,56.4,56.0,B,03/01/2023
235,Representative,"Jesús ""Chuy"" García",RepChuyGarcia,Democratic,Illinois,4,,84.0,64.0,M,03/01/2023
236,Representative,Mike Quigley,RepMikeQuigley,Democratic,Illinois,5,,70.8,62.0,D,03/01/2023
237,Representative,Sean Casten,RepCasten,Democratic,Illinois,6,,52.8,49.0,M,03/01/2023
238,Representative,Danny K. Davis,RepDannyDavis,Democratic,Illinois,7,,80.4,79.0,D,03/01/2023
239,Representative,Raja Krishnamoorthi,CongressmanRaja,Democratic,Illinois,8,,73.2,47.0,D,03/01/2023
240,Representative,Jan Schakowsky,janschakowsky,Democratic,Illinois,9,,71.0,76.0,B,03/01/2023
241,Representative,Brad Schneider,RepSchneider,Democratic,Illinois,10,,63.9,59.0,M,03/01/2023
242,Representative,Bill Foster,RepBillFoster,Democratic,Illinois,11,,63.3,65.0,D,03/01/2023
243,Representative,Mike Bost,RepBost,Republican,Illinois,12,,60.4,60.0,N,03/01/2023
244,Representative,Rodney Davis,RodneyDavis,Republican,Illinois,13,,54.5,50.0,B,03/01/2023
245,Representative,Lauren Underwood,RepUnderwood,Democratic,Illinois,14,,50.7,34.0,M,03/01/2023
246,Representative,Mary Miller,RepMaryMiller,Republican,Illinois,15,,73.5,61.0,B,03/01/2023
247,Representative,Adam Kinzinger,RepKinzinger,Republican,Illinois,16,,64.7,42.0,B,03/01/2023
248,Representative,Cheri Bustos,RepCheri,Democratic,Illinois,17,,52.0,59.0,M,03/01/2023
249,Representative,Darin LaHood,RepLaHood,Republican,Illinois,18,,70.4,52.0,D,03/01/2023
250,Representative,Frank J. Mrvan,RepMrvan,Democratic,Indiana,1,,56.6,51.0,B,03/01/2023
251,Representative,Jackie Walorski,RepWalorski,Republican,Indiana,2,,61.5,57.0,B,03/08/2022
252,Representative,Jim Banks,RepJimBanks,Republican,Indiana,3,,67.8,41.0,M,03/01/2023
253,Representative,Jim Baird,RepJimBaird,Republican,Indiana,4,,66.6,75.0,D,03/01/2023
254,Representative,Victoria Spartz,RepSpartz,Republican,Indiana,5,,50.0,42.0,M,03/01/2023
255,Representative,Greg Pence,RepGregPence,Republican,Indiana,6,,68.6,64.0,M,03/01/2023
256,Representative,André Carson,RepAndreCarson,Democratic,Indiana,7,,62.4,46.0,M,03/01/2023
257,Representative,Larry Bucshon,RepLarryBucshon,Republican,Indiana,8,,66.9,58.0,D,03/01/2023
258,Representative,Trey Hollingsworth,RepTrey,Republican,Indiana,9,,61.8,37.0,M,03/01/2023
259,Representative,Ashley Hinson,RepAshleyHinson,Republican,Iowa,1,,51.2,37.0,B,03/01/2023
260,Representative,Mariannette Miller-Meeks,RepMMM,Republican,Iowa,2,,49.912,65.0,D,03/01/2023
261,Representative,Cindy Axne,RepCindyAxne,Democratic,Iowa,3,,48.9,55.0,M,03/01/2023
262,Representative,Randy Feenstra,RepFeenstra,Republican,Iowa,4,,62.0,51.0,M,03/01/2023
